survey_year,duration,event,female,age,age_group,education,race_eth,married,industry,great_recession,weight
2002,12,1,0,27,20-29,College plus,White non-Hispanic,0,Business/repair services,0,542.0231
2002,8,1,0,33,30-39,HS diploma,White non-Hispanic,0,Trade,0,1653.5846
2002,1,0,1,34,30-39,College plus,White non-Hispanic,0,Education/health,0,1487.7538
2002,1,1,0,33,30-39,Less than HS,Hispanic,0,Agriculture/mining,0,494.5033
2002,32,1,1,30,30-39,Some college,White non-Hispanic,0,Professional services,0,2581.5545
2002,26,1,1,33,30-39,College plus,White non-Hispanic,1,Manufacturing,0,2581.5545
2002,1,0,0,40,40-49,HS diploma,White non-Hispanic,0,Business/repair services,0,2682.4244
2002,4,1,1,41,40-49,HS diploma,White non-Hispanic,0,Finance/insurance/RE,0,2615.5862
2002,1,0,1,59,50-59,HS diploma,White non-Hispanic,0,Manufacturing,0,3083.5875
2002,8,1,0,44,40-49,College plus,White non-Hispanic,1,Professional services,0,2948.0484
2002,28,1,0,34,30-39,Some college,Black non-Hispanic,0,Professional services,0,3566.5453
2002,1,0,1,54,50-59,HS diploma,White non-Hispanic,0,,0,2583.9967
2002,9,1,1,45,40-49,HS diploma,White non-Hispanic,1,Business/repair services,0,678.4225
2002,1,0,1,50,50-59,HS diploma,White non-Hispanic,0,Manufacturing,0,624.5075
2002,1,0,0,46,40-49,HS diploma,White non-Hispanic,1,Manufacturing,0,2357.5211
2002,1,0,1,48,40-49,College plus,White non-Hispanic,0,Professional services,0,2899.5009
2002,32,1,1,32,30-39,Some college,White non-Hispanic,1,Public admin,0,2581.5545
2002,8,1,1,54,50-59,HS diploma,White non-Hispanic,1,Business/repair services,0,2199.0178
2002,1,0,1,37,30-39,College plus,White non-Hispanic,0,Education/health,0,1225.5503
2002,1,1,1,36,30-39,HS diploma,White non-Hispanic,0,Manufacturing,0,1360.0546
2002,20,1,1,48,40-49,HS diploma,White non-Hispanic,1,Finance/insurance/RE,0,2989.9524
2002,3,1,1,33,30-39,HS diploma,White non-Hispanic,0,Professional services,0,2833.7544
2002,1,0,0,78,60+,HS diploma,White non-Hispanic,0,,0,2894.5136
2002,1,0,0,63,60+,Some college,White non-Hispanic,0,Public admin,0,507.7696
2002,12,1,0,39,30-39,Some college,White non-Hispanic,0,Business/repair services,0,2594.7365
2002,2,1,1,22,20-29,College plus,White non-Hispanic,0,Education/health,0,544.2195
2002,24,1,0,23,20-29,College plus,White non-Hispanic,0,Business/repair services,0,557.9508
2002,1,1,0,54,50-59,Less than HS,White non-Hispanic,1,Construction,0,443.635
2002,1,0,1,39,30-39,HS diploma,White non-Hispanic,1,Manufacturing,0,1931.1714
2002,8,1,1,25,20-29,College plus,White non-Hispanic,0,Education/health,0,3259.4746
2002,4,1,0,24,20-29,College plus,White non-Hispanic,0,Finance/insurance/RE,0,3006.9263
2002,1,0,0,39,30-39,Some college,White non-Hispanic,0,Education/health,0,2882.298
2002,1,0,0,67,60+,Less than HS,White non-Hispanic,1,,0,3372.2543
2002,1,0,1,49,40-49,HS diploma,White non-Hispanic,1,Education/health,0,2938.2029
2002,8,1,1,34,30-39,HS diploma,White non-Hispanic,0,Construction,0,2594.4556
2002,26,1,1,41,40-49,HS diploma,Black non-Hispanic,1,Manufacturing,0,2854.2442
2002,104,1,0,32,30-39,HS diploma,White non-Hispanic,1,Education/health,0,514.7499
2002,1,1,0,54,50-59,Some college,White non-Hispanic,1,Construction,0,477.9781
2002,1,1,1,57,50-59,HS diploma,Black non-Hispanic,1,Manufacturing,0,2585.4649
2002,1,0,0,53,50-59,Less than HS,White non-Hispanic,0,Agriculture/mining,0,2975.6686
2002,1,1,0,29,20-29,HS diploma,White non-Hispanic,0,Finance/insurance/RE,0,3936.3855
2002,40,1,0,52,50-59,Some college,White non-Hispanic,1,Professional services,0,2591.8095
2002,2,1,1,46,40-49,Some college,White non-Hispanic,1,Business/repair services,0,2838.8226
2002,1,0,0,20,20-29,Some college,White non-Hispanic,0,Professional services,0,625.6285
2002,20,1,1,47,40-49,Some college,White non-Hispanic,1,Finance/insurance/RE,0,2451.197
2002,1,0,0,39,30-39,Some college,White non-Hispanic,1,Professional services,0,2503.5255
2002,3,1,0,56,50-59,Some college,White non-Hispanic,1,Finance/insurance/RE,0,466.3103
2002,13,1,0,62,60+,Some college,White non-Hispanic,0,Professional services,0,3298.1594
2002,12,1,0,33,30-39,Some college,White non-Hispanic,1,Professional services,0,1286.8433
2002,1,0,0,50,50-59,HS diploma,White non-Hispanic,1,Construction,0,1134.891
2002,104,1,1,76,60+,HS diploma,White non-Hispanic,0,,0,2633.123
2002,1,0,1,40,40-49,Some college,Black non-Hispanic,0,Education/health,0,4632.0871
2002,3,1,0,29,20-29,Less than HS,White non-Hispanic,1,Business/repair services,0,2301.5506
2002,1,0,1,31,30-39,College plus,White non-Hispanic,1,,0,2261.9108
2002,104,1,0,28,20-29,HS diploma,White non-Hispanic,0,Manufacturing,0,2040.5262
2002,9,1,1,27,20-29,Less than HS,Hispanic,0,Professional services,0,2123.8092
2002,1,0,1,58,50-59,HS diploma,White non-Hispanic,0,,0,2972.5942
2002,104,1,1,52,50-59,Some college,White non-Hispanic,1,,0,2263.4197
2002,8,1,1,38,30-39,Some college,Black non-Hispanic,0,Professional services,0,3698.6379
2002,6,1,1,21,20-29,Some college,Black non-Hispanic,0,Business/repair services,0,3840.4798
2002,4,1,0,20,20-29,Some college,White non-Hispanic,0,Trade,0,2451.79
2002,1,1,0,30,30-39,Some college,White non-Hispanic,1,Construction,0,2343.2414
2002,1,0,0,71,60+,College plus,White non-Hispanic,0,,0,404.3339
2002,1,0,0,50,50-59,HS diploma,White non-Hispanic,1,,0,492.5534
2002,1,1,1,32,30-39,HS diploma,White non-Hispanic,1,Business/repair services,0,482.2923
2002,20,1,1,22,20-29,Some college,White non-Hispanic,0,,0,556.1211
2002,1,0,0,40,40-49,HS diploma,White non-Hispanic,1,Manufacturing,0,630.0449
2002,13,1,0,60,60+,HS diploma,White non-Hispanic,1,Education/health,0,2125.6644
2002,4,1,1,46,40-49,HS diploma,White non-Hispanic,0,Business/repair services,0,299.8283
2002,40,1,0,44,40-49,Some college,White non-Hispanic,0,Entertainment/hospitality,0,526.6678
2002,4,1,0,20,20-29,HS diploma,White non-Hispanic,0,Business/repair services,0,448.2783
2002,2,1,1,31,30-39,Some college,Other/multiracial,1,Education/health,0,4342.5222
2002,104,1,0,34,30-39,HS diploma,White non-Hispanic,0,Construction,0,2707.6119
2002,4,1,0,41,40-49,HS diploma,White non-Hispanic,0,Business/repair services,0,4445.1121
2002,40,1,0,33,30-39,Some college,Hispanic,1,Professional services,0,3172.8776
2002,1,1,0,55,50-59,College plus,White non-Hispanic,1,,0,2341.4549
2002,8,1,0,64,60+,College plus,White non-Hispanic,1,Education/health,0,3047.8968
2002,10,1,0,52,50-59,College plus,White non-Hispanic,0,Manufacturing,0,643.6232
2002,52,1,1,64,60+,HS diploma,White non-Hispanic,0,Business/repair services,0,1807.9377
2002,6,1,1,28,20-29,Some college,White non-Hispanic,0,Trade,0,963.7535
2002,4,1,1,47,40-49,HS diploma,Black non-Hispanic,1,Business/repair services,0,3621.1841
2002,1,0,0,44,40-49,HS diploma,Black non-Hispanic,0,,0,2257.3119
2002,1,0,0,51,50-59,Some college,White non-Hispanic,0,,0,2394.5713
2002,104,1,0,26,20-29,College plus,Black non-Hispanic,0,Trade,0,4041.2171
2002,10,1,0,39,30-39,HS diploma,White non-Hispanic,0,Trade,0,2832.6682
2002,1,0,0,39,30-39,College plus,White non-Hispanic,1,Professional services,0,641.705
