Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,NVDA,NVDA,NVDA,NVDA,NVDA,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,93.14362960626289,95.20204944152336,92.57288456187912,94.61259460449219,35329300,128.09522034668402,136.55610741995005,127.66819531541115,134.73880004882812,28146200,73.26000213623047,77.66799926757812,73.04650115966797,76.95649719238281,159662000,3.2388272324145833,3.4331963935560545,3.224199947185259,3.377166509628296,508752000,36.784145853458895,37.724590460067255,36.6274044817337,37.503726959228516,148158800,50.45011139911309,52.22430681417616,50.407432235083256,51.90321350097656,30652000
2019-01-03,93.65823955982005,93.74245148047763,90.9448625191118,91.13199615478516,42579100,133.75567454143803,136.21846684512943,130.21043191679348,130.82614135742188,22717900,76.00050354003906,76.9000015258789,74.85549926757812,75.01399993896484,139512000,3.316921464491716,3.3508865238272074,3.165690356157027,3.1731278896331787,705552000,34.19317547745964,34.60640172363963,33.72295500680148,33.7680778503418,365248800,51.662515489912586,52.45556716032924,50.32603905143399,50.424800872802734,36822000
2019-01-04,93.302704723217,95.91316028290775,92.56354285749075,95.3704833984375,44060600,133.08037122853827,137.04269817428778,132.8221802957318,136.9930419921875,29002100,76.5,79.69999694824219,75.91549682617188,78.76950073242188,183652000,3.246264728875429,3.4146023989573466,3.2155227464445826,3.376422882080078,585620000,34.32378608802359,35.27847900912154,34.15042265199752,35.2096061706543,234428400,51.245153567384584,53.14341474471129,50.98847654839155,53.136962890625,41878000
2019-01-07,95.09915645481702,96.62425842997017,94.48163317312071,95.49212646484375,35656100,136.60577028976442,137.90668064703007,134.96722208386868,137.09237670898438,20089300,80.1155014038086,81.72799682617188,79.45950317382812,81.47550201416016,159864000,3.433692174155903,3.592113042695753,3.3823725513844485,3.555172920227051,709160000,35.314117263459316,35.34499155915994,34.64915668419154,35.13125228881836,219111200,53.17616858544918,53.30023803908472,52.34539773677241,53.02182388305664,39638000
2019-01-08,96.40904725208507,97.27919906273625,95.16463529327085,96.18449401855469,31514400,138.91961913603413,142.14707473802136,138.57204093310452,141.5413055419922,26263800,83.2344970703125,83.83049774169922,80.83049774169922,82.8290023803711,177628000,3.6367386038009384,3.6389700768577153,3.394024887412629,3.466665506362915,786016000,35.51834826233486,36.055068075400506,35.27136481535477,35.80095672607422,164101200,53.40495523804268,53.8243106231069,52.631755021494904,53.41339111328125,35298000
2019-01-09,97.1762716635842,98.13062820412024,96.59616811091757,97.55988311767578,32280800,141.9583725827706,143.69623307471448,140.29003378391613,143.2294921875,22205900,82.64900207519531,83.38999938964844,82.06999969482422,82.97100067138672,126976000,3.517984925429318,3.582196402548422,3.4674093612937327,3.534843683242798,617260000,35.929190786032024,36.6986453479839,35.534967488442895,36.408912658691406,180396400,53.679897178244396,53.728532198300925,52.923072656329246,53.33300018310547,23986000
2019-01-10,96.57744787243936,97.07333945231404,95.79150097839057,96.93299102783203,30067600,142.08748112242944,143.55721038093398,139.86301415184678,143.19970703125,16125000,82.05049896240234,83.1624984741211,81.08100128173828,82.81099700927734,130154000,3.5155056435531016,3.6092192305726094,3.455013056291232,3.6005420684814453,523156000,36.21655182724987,36.56565592820539,35.82707561156554,36.52528381347656,143122800,52.98560530654311,53.15880580772404,52.49181122290345,53.11811065673828,29128000
2019-01-11,96.54939569994855,96.78330740024812,95.09914030272371,96.18449401855469,28314200,142.15699006693217,144.35166639153093,141.5810267493777,142.802490234375,12908000,82.02749633789062,83.0145034790039,81.81099700927734,82.02799987792969,93724000,3.578229393529933,3.712602229451064,3.5504624735758616,3.689793586730957,874764000,36.306798636311406,36.50153493832651,35.98144090958733,36.16667938232422,108092800,52.76326955474528,52.79279890505535,52.03374049969427,52.465999603271484,30416000
2019-01-14,95.34240912247922,96.24998764896328,94.7435957492478,95.48275756835938,28437100,141.01495600622104,145.5532615116634,140.2900242076038,144.38143920898438,20520300,80.75,82.41000366210938,79.75749969482422,80.8604965209961,120118000,3.6374827216550165,3.754996812091096,3.613930252224324,3.7297089099884033,730168000,35.824712768467144,35.924456309448,35.437609988385816,35.62284851074219,129756800,51.95631946376203,52.18510281738695,51.67517916233614,51.84564971923828,22886000
2019-01-15,95.91315653355343,98.28970028859682,95.32369447440924,98.25227355957031,31587600,144.99714006236596,149.63474299414236,144.97728971017003,147.916748046875,24069000,81.5999984741211,83.75800323486328,81.30049896240234,83.72799682617188,119970000,3.762433800893337,3.8018531789337877,3.6972309567970747,3.7155771255493164,617012000,35.68696070331559,36.42791458616587,35.634713583499995,36.35192108154297,114843600,52.11761292957912,53.60049071023067,51.97716771412088,53.45656967163086,29272000
2019-01-16,98.48618428887447,99.42183109003462,98.20548739315899,98.59845733642578,29853900,147.9664040832414,148.61188904658937,145.98027785393614,146.5165252685547,18025700,84.21099853515625,85.25,83.79399871826172,84.18900299072266,127338000,3.7428476128716044,3.7758208233277633,3.6845865082211358,3.6900405883789062,470104000,36.35429336518652,37.01925372022599,36.33529408375769,36.796016693115234,122278800,53.59800585665798,54.21215118828527,53.56525058074333,53.64614486694336,26636000
2019-01-17,98.2429207208009,99.76802253930246,98.01836747219642,99.29084777832031,28393000,145.9306445347086,147.96642726933842,145.48376909367838,147.2712860107422,15787900,84.0,85.00849914550781,83.875,84.66100311279297,84178000,3.657067750986243,3.801357125509616,3.6297964016758155,3.761441946029663,493436000,36.62027653760977,37.4419782573986,36.39703950757352,37.014503479003906,119284800,53.571703708867574,54.18361513841397,53.27542577553338,54.08932113647461,24854000
2019-01-18,100.54460697047853,100.95629385782408,99.09435867459821,100.77851867675781,37427600,148.7112096323195,151.37261165316215,147.51953685951025,148.9991912841797,31029600,85.5999984741211,85.80999755859375,84.5770034790039,84.80999755859375,120410000,3.8112737570752984,3.916639792229535,3.759706357617704,3.890608072280884,651336000,37.403992634389624,37.49423834764518,37.04301340511108,37.24250411987305,135004000,54.59056556207652,55.005055571914696,54.13895088409368,54.50421142578125,39112000
2019-01-22,99.88029214343463,100.20776708343436,98.11192032901778,98.879150390625,32371300,148.16502362395156,150.47886265480508,145.35465300243268,146.5463409423828,22378700,84.05000305175781,84.09349822998047,80.51000213623047,81.6084976196289,128336000,3.8603623976914765,3.872014620828446,3.6580596786916066,3.6883058547973633,661552000,37.145127995415336,37.2211215121317,36.2450554347819,36.40654754638672,121576000,53.99503486799835,54.1692273740354,52.77766377420555,53.127540588378906,32270000
2019-01-23,99.29083682779277,100.15163013452457,98.56102635808371,99.84286499023438,25874300,147.25136684550517,147.76776380069634,142.06757725141557,143.29898071289062,20098400,82.80000305175781,82.87149810791016,80.5999984741211,82.0009994506836,104504000,3.74359206301233,3.832347373085581,3.669959840656427,3.701197624206543,591020000,36.60840409054777,36.84351614102213,36.02656509052752,36.55378341674805,92522400,53.466489085018985,53.84266547650446,52.59303909686968,53.378150939941406,19340000
